"probset.ids","gene.names"
"X1555281_x_at","ARMC8"
"X1555282_a_at","PPARGC1B"
"X1555284_at","ALS2"
"X1555286_at","CDKL1"
"X1555288_s_at","FBF1"
"X1555289_at","SEC16B"
"X1555291_at","TRPV3"
"X1555292_at","STRIP2"
"X1555294_a_at","ERC1"
"X1555298_a_at","VWA3B"
"X1555299_s_at","ERVW-1"
"X1555300_a_at","MED12L"
"X1555301_a_at","DIP2A"
"X1555303_at",""
"X1555304_a_at","KCNH5"
"X1555305_at","FOXJ2"
"X1555306_a_at","ECE2"
"X1555307_at","TTF2"
"X1555308_at","CARD14"
"X1555309_a_at","CARD14"
"X1555310_a_at","PAK6"
"X1555311_at",""
"X1555313_a_at","MCF2"
"X1555314_at","WDR19"
"X1555315_a_at","MAK"
"X1555316_a_at","KCNH7"
"X1555317_at","POLK"
"X1555318_at","HIF3A"
"X1555319_at","STAB1"
"X1555320_a_at","STAB1"
"X1555321_at","ACOT11"
"X1555322_at","PP2672"
"X1555323_at","ABCB9"
"X1555324_at","PTK7"
"X1555325_s_at","ZNF26"
"X1555326_a_at","ADAM9"
"X1555330_at","GCLC"
"X1555332_at","TPH2"
"X1555334_s_at","SLC30A5"
"X1555335_at","ITGA9"
"X1555336_a_at","ITGA9"
"X1555337_a_at","ZNF317"
"X1555338_s_at","AQP10"
"X1555339_at","RAP1A"
"X1555340_x_at","RAP1A"
"X1555341_at","UNC5C"
"X1555342_a_at","UNC5C"
"X1555343_at","MEGF10"
"X1555344_at","KB-1568E2.1"
"X1555345_at","SLC38A4"
"X1555346_at","CDC20B"
"X1555347_at","PDXDC1"
"X1555348_at","TFAP2E"
"X1555349_a_at","ITGB2"
"X1555350_at","PPHLN1"
"X1555351_s_at","PPHLN1"
"X1555352_at","FOXP2"
"X1555353_at","LRP1"
"X1555355_a_at","ETS1"
"X1555356_a_at","SCML4"
"X1555357_at","DDX53"
"X1555358_a_at","ENTPD4"
"X1555359_at","PIGQ"
"X1555360_a_at","DNAJC11"
"X1555363_s_at","LINC00663"
"X1555364_at","C11orf58"
"X1555365_x_at","C11orf58"
"X1555366_at","NSAP11"
"X1555367_at","LOC285902 /// ZNF273 /// ZNF479"
"X1555368_x_at","LOC285902 /// ZNF273 /// ZNF479"
"X1555369_at","BAGE"
"X1555370_a_at","CAMTA1"
"X1555371_at","ABCB5"
"X1555372_at","BCL2L11"
"X1555373_at",""
"X1555374_at","TTL"
"X1555375_at","GRIK2"
"X1555377_at","OR4D2"
"X1555378_at","DBF4B"
"X1555379_at","FAM159A"
"X1555380_at","ADAMTS4"
"X1555382_at","POF1B"
"X1555383_a_at","POF1B"
"X1555384_a_at","LARP4"
"X1555385_at","B4GALNT1"
"X1555387_at","UBA1"
"X1555388_s_at","SNX25"
"X1555390_at","NOP9"
"X1555391_a_at","CARF"
"X1555392_at","BD495725"
"X1555393_s_at","C21orf67"
"X1555394_at","PIGK"
"X1555395_at","AKAP12"
"X1555396_s_at","CXorf67"
"X1555397_at","MYO1D"
"X1555399_a_at","DUSP16"
"X1555400_at","LOC645261"
"X1555401_at","SOHLH2"
"X1555403_a_at","CDH19"
"X1555404_a_at","DUOXA1"
"X1555405_at","UBE3C"
"X1555407_s_at","FGD3"
"X1555408_at","BAGE2 /// BAGE4"
"X1555409_a_at","BAGE2 /// BAGE3 /// BAGE5 /// KMT2C"
"X1555410_at",""
"X1555411_a_at","CCNL1"
"X1555412_at","FBXL21"
"X1555413_s_at","FBXL21"
"X1555415_at",""
"X1555416_a_at","ALOX15B"
"X1555417_a_at","TAS1R1"
"X1555419_a_at","ASAH1"
"X1555420_a_at","KLF7"
"X1555421_at","AP1S3"
"X1555423_at","SSH2"
"X1555425_x_at","SSH2"
"X1555426_a_at","OTUD5"
"X1555427_s_at","SYNCRIP"
"X1555429_at",""
"X1555430_at","TSTD2"
"X1555431_a_at","IL31RA"
"X1555433_at","SLC39A14"
"X1555434_a_at","SLC39A14"
"X1555435_at","AFF4"
"X1555436_a_at","AFF4"
"X1555437_at","EARS2"
"X1555439_at","GTF3C3"
"X1555441_at","UBA6"
"X1555443_at","CCDC172"
"X1555444_a_at","PPP1R12B"
"X1555445_at","CA8"
"X1555446_s_at","TRAPPC10"
"X1555447_at","GPR114"
"X1555448_at","AP5M1"
"X1555450_a_at","NAA16"
"X1555452_at","RALGPS1"
"X1555454_at","LITAF"
"X1555456_at",""
"X1555457_at","BRINP1"
"X1555460_a_at","SLC39A6"
"X1555461_at","TXNL4A"
"X1555462_at","PPP1R1C"
"X1555463_a_at","CHD6"
"X1555464_at","IFIH1"
"X1555465_at","MCOLN2"
"X1555467_a_at","CELF1"
"X1555468_at","NRP2"
"X1555469_a_at","CLASP2"
"X1555470_a_at","PPM1F"
"X1555471_a_at","FMN2"
"X1555472_at","SORBS2"
"X1555474_at","TTLL3"
"X1555475_x_at","TTLL3"
"X1555476_at","IREB2"
"X1555478_at","C17orf82"
"X1555480_a_at","FBLIM1"
"X1555483_x_at","FBLIM1"
"X1555485_s_at","FAM153A /// FAM153B /// LOC100507387"
"X1555486_a_at","PRR5L"
"X1555487_a_at","ACTR3B"
"X1555488_at",""
"X1555489_at",""
"X1555490_s_at","PDZD3"
"X1555491_a_at","C19orf66"
"X1555492_a_at","BEST3"
"X1555495_a_at","CWC27"
"X1555497_a_at","CYP4B1"
"X1555498_at",""
"X1555499_a_at","IFNLR1"
"X1555500_s_at","SLC2A4RG"
"X1555501_s_at","RSRC1"
"X1555502_at","NPSA"
"X1555503_a_at","TMCC2"
"X1555504_at","TYR"
"X1555505_a_at","TYR"
"X1555509_a_at","SLC25A41"
"X1555510_at","ZNF215"
"X1555513_at","PIAS2"
"X1555514_a_at","PIAS2"
"X1555515_a_at","FAM189B"
"X1555516_at","FOXP2"
"X1555517_at","GABRG3"
"X1555519_at",""
"X1555520_at","PTCH1"
"X1555522_s_at","DPY30 /// MEMO1"
"X1555523_a_at","FYCO1"
"X1555526_a_at","SEPT6"
"X1555527_at","COL9A1"
"X1555529_at","RNH1"
"X1555533_at","QRFPR"
"X1555535_at","BPIFB6"
"X1555536_at","ANTXR2"
"X1555538_s_at","FAM9B"
"X1555539_at","SDS"
"X1555540_at","TGFB3"
"X1555542_at","AFAP1L1"
"X1555543_a_at","CLCC1"
"X1555544_a_at","CADM2"
"X1555545_at","KLK2"
"X1555546_a_at","POFUT2"
"X1555547_at",""
"X1555548_at","NDUFA10"
"X1555550_at","ZACN"
"X1555551_at","SERPINB5"
"X1555553_a_at","SLC22A7"
"X1555554_at","BPIFA4P"
"X1555555_at","BBS9"
"X1555557_a_at","TNK2"
"X1555558_at","USP25"
"X1555559_s_at","USP25"
"X1555560_at","UGGT2"
"X1555561_a_at","UGGT2"
"X1555562_a_at","ZCCHC7"
"X1555564_a_at","CFI"
"X1555565_s_at","TAPBP"
"X1555567_s_at","LMOD3"
"X1555568_at","GUSBP2"
"X1555569_a_at","KCTD7 /// RABGEF1"
"X1555571_at","IMMP2L"
"X1555572_at","CA6"
"X1555573_at","TTC40"
"X1555575_a_at","KDELR1"
"X1555578_at",""
"X1555579_s_at","PTPRM"
"X1555580_at","LINC00824"
"X1555581_a_at","TP63"
"X1555585_a_at","FAM71B"
"X1555586_at","FAM71B"
"X1555587_at","PDZRN3"
"X1555590_a_at","GATA1"
"X1555591_at","PIF1"
"X1555594_a_at","MBNL1"
"X1555595_at","SCRN3"
"X1555598_a_at","DUSP19"
"X1555600_s_at","APOL4"
"X1555601_at",""
"X1555602_a_at","ELAVL3"
"X1555603_at","BAGE"
"X1555605_x_at","BAGE"
"X1555606_a_at","GDPD1"
"X1555608_at","CAPRIN2"
"X1555609_a_at","ZMAT3"
"X1555610_at","AGK"
"X1555611_s_at","MBD1"
"X1555612_s_at","G6PC"
"X1555613_a_at","ZAP70"
"X1555614_at","SUGT1P1"
"X1555616_at","AC010524.4"
"X1555617_x_at","AC010524.4"
"X1555618_s_at","SAE1"
"X1555620_a_at","PTGIR"
"X1555623_at",""
"X1555624_a_at","SSH1"
"X1555626_a_at","SLAMF1"
"X1555627_s_at","C21orf67"
"X1555628_a_at","HAVCR2"
"X1555629_at","HAVCR2"
"X1555630_a_at","NARR /// RAB34"
"X1555631_at",""
"X1555632_at","PIK3IP1"
"X1555634_a_at","LILRA5"
"X1555636_at","CD300LG"
"X1555638_a_at","SAMSN1"
"X1555639_a_at","RBM14"
"X1555640_at","DAOA"
"X1555643_s_at","LILRA5"
"X1555645_at","GAFA2"
"X1555646_at","Dbpht2"
"X1555647_a_at","FOXP2"
"X1555648_at","FOXP2"
"X1555650_at","KLHL17"
"X1555651_at","OR10A5"
"X1555653_at",""
"X1555655_at","OR10A4"
"X1555656_at","CD300LG"
"X1555659_a_at","TREML1"
"X1555661_at","OR8D1"
"X1555662_s_at","DAOA"
"X1555664_at",""
"X1555665_at",""
"X1555666_at","PTPRS"
"X1555668_a_at","PARK2"
"X1555671_at","ICA1L"
"X1555673_at","KRTAP2-3 /// KRTAP2-4"
"X1555675_at","BLID"
"X1555676_s_at","GSX1"
"X1555677_s_at","SMC1A"
"X1555678_at","ST3GAL3"
"X1555679_a_at","RTN4IP1"
"X1555680_a_at","SMOX"
"X1555681_at",""
"X1555682_at","OTUB2"
"X1555685_at","H6PD"
"X1555687_a_at","CLEC4C"
"X1555688_s_at","SLA2"
"X1555689_at","CD80"
"X1555691_a_at","KLRC4-KLRK1 /// KLRK1"
"X1555692_at",""
"X1555694_a_at","KCNIP3"
"X1555695_a_at","CLRN1"
"X1555697_at","KLK4"
"X1555702_a_at","ST3GAL3"
"X1555703_at","ST3GAL3"
"X1555704_at","CMTM3"
"X1555705_a_at","CMTM3"
"X1555707_at","TNAP"
"X1555708_a_at","OFCC1"
"X1555710_at",""
"X1555711_x_at",""
"X1555713_at","PNKD"
"X1555715_a_at","HRH3"
"X1555716_a_at","CXADR"
"X1555717_at",""
"X1555718_x_at",""
"X1555719_a_at","MAATS1"
"X1555722_at","SCAMPER"
"X1555723_at",""
"X1555724_s_at","TAGLN"
"X1555725_a_at","RGS5"
"X1555726_at","GAFA3"
"X1555727_at",""
"X1555728_a_at","MS4A4A"
"X1555729_a_at","CD209"
"X1555730_a_at","CFL1"
"X1555731_a_at","AP1S3"
"X1555733_s_at","AP1S3"
"X1555734_x_at","AP1S3"
"X1555735_a_at","BAP1"
"X1555736_a_at","AGTRAP"
"X1555737_a_at","KLK4"
"X1555738_at","CMTM1"
"X1555740_a_at","MRAP"
"X1555741_at","MRAP"
"X1555742_at","ERVH-6"
"X1555743_s_at","ERVH-6"
"X1555745_a_at","LYZ"
"X1555746_at","CD79B"
"X1555748_x_at","CD79B"
"X1555749_at","SF1"
"X1555751_a_at","GEMIN7"
"X1555752_at","STH"
"X1555753_x_at","ERVH-6"
"X1555754_s_at","ATN1"
"X1555755_at",""
"X1555756_a_at","CLEC7A"
"X1555757_at","C7orf34"
"X1555758_a_at","CDKN3"
"X1555759_a_at","CCL5"
"X1555760_a_at","RBM15"
"X1555761_x_at","RBM15"
"X1555762_s_at","RBM15"
"X1555763_x_at","MKL1"
"X1555764_s_at","TIMM10"
"X1555765_a_at","GNG4"
"X1555766_a_at","GNG2"
"X1555772_a_at","CDC25A"
"X1555773_at","BPIFC"
"X1555774_at","ZAR1"
"X1555775_a_at","ZAR1"
"X1555777_at","POSTN"
"X1555778_a_at","POSTN"
"X1555779_a_at","CD79A"
"X1555780_a_at","RHEB"
"X1555781_at","PQLC2"
"X1555783_x_at","PQLC2"
"X1555784_s_at","IRAK1"
"X1555785_a_at","XRN1"
"X1555786_s_at","LINC00520"
"X1555787_at","C11orf63"
"X1555788_a_at","TRIB3"
"X1555789_s_at","PHF23"
"X1555790_a_at","TMEM192 /// ZNF320"
"X1555792_a_at","CCDC116"
"X1555793_a_at","ZFP82"
"X1555794_at","ARL17A /// ARL17B /// LOC100294341"
"X1555797_a_at","ARPC5"
"X1555798_at","LOC400692"
"X1555799_at","FCRL5"
"X1555800_at","ZNF385B"
"X1555801_s_at","ZNF385B"
"X1555803_a_at","C11orf57"
"X1555804_a_at","MAP3K19"
"X1555807_a_at","MOG"
"X1555808_a_at","EXD2"
"X1555809_at","CRISPLD2"
"X1555811_at","ARHGDIB"
"X1555812_a_at","ARHGDIB"
"X1555814_a_at","RHOA"
"X1555815_a_at","L3MBTL2"
"X1555816_at","THSD4"
"X1555817_s_at","THSD4"
"X1555819_s_at","SAMD14"
"X1555820_a_at","MKS1"
"X1555821_a_at","AKT1S1"
"X1555822_at","FAM138A /// FAM138B /// FAM138C /// FAM138D /// FAM138E /// FAM138F"
"X1555823_at","PACS2"
"X1555824_a_at","PACS2"
"X1555826_at","BIRC5 /// EPR-1"
"X1555827_at","CCNL1"
"X1555829_at","ESYT2"
"X1555830_s_at","ESYT2"
"X1555831_s_at","LRRC41"
"X1555832_s_at","KLF6"
"X1555833_a_at","IRGQ"
"X1555834_at","UCHL1"
"X1555836_at","POLR2B"
"X1555837_s_at","POLR2B"
"X1555839_a_at","C3orf79"
"X1555841_at","MSANTD3"
"X1555842_at","CYTH2"
"X1555843_at","HNRNPM"
"X1555844_s_at","HNRNPM"
"X1555845_at",""
"X1555846_a_at",""
"X1555847_a_at","LOC284454 /// MIR23A /// MIR24-2"
"X1555848_at","RBM18"
"X1555851_s_at","SEPW1"
"X1555852_at","PSMB8-AS1"
"X1555853_at","PSMB8-AS1"
"X1555854_at","AKR1C1 /// AKR1C2 /// LOC101930400"
"X1555855_at","AKR1C1"
"X1555856_s_at","AKR1C1"
"X1555858_at","THUMPD3-AS1"
"X1555860_x_at","THUMPD3-AS1"
"X1555862_s_at","MICALL2"
"X1555864_s_at","PDHA1"
"X1555865_at","TOLLIP-AS1"
"X1555866_a_at","HEXDC"
"X1555867_at","GNG4"
"X1555868_at","LOC100507477"
"X1555869_a_at","LOC100507477"
"X1555870_at","RNF207"
"X1555871_at","TTC28-AS1"
"X1555872_a_at","GLIDR /// LOC728903"
"X1555874_x_at","GLIDR"
"X1555875_at","SRGAP1"
"X1555876_at","SRGAP1"
"X1555878_at","RPS24"
"X1555880_at","ERVFRD-1"
"X1555881_s_at","LZTS2"
"X1555882_at","SPIN3"
"X1555883_s_at","SPIN3"
"X1555884_at","PSMD6"
"X1555886_at","PDSS2"
"X1555888_at","KB-431C1.4"
"X1555889_a_at","CRTAP"
"X1555890_at","LOC101928605 /// OR2A1-AS1 /// OR2A20P /// OR2A9P"
"X1555892_s_at","PSMD5-AS1"
"X1555893_at","BC038731 /// CTD-2284J15.1"
"X1555894_s_at","MTSS1L"
"X1555895_at","DNM2"
"X1555896_a_at","ADAM15"
"X1555897_at",""
"X1555898_at","ANKRD36C"
"X1555900_at","DCTN5"
"X1555902_at","ARMCX5"
"X1555904_at","FRY"
"X1555905_a_at","TCAIM"
"X1555906_s_at","TCAIM"
"X1555907_at","AGAP2-AS1"
"X1555908_at","FAM120A"
"X1555910_at","PTCD2"
"X1555912_at","ST7-AS1"
"X1555913_at","GON4L"
"X1555914_a_at","EXD3"
"X1555916_at","RPUSD3"
"X1555920_at","CBX3"
"X1555922_at","CASC10"
"X1555923_a_at","CASC10"
"X1555925_at",""
"X1555926_a_at",""
"X1555928_at",""
"X1555929_s_at",""
"X1555931_at","TSGA10"
"X1555932_at","TSGA10"
"X1555933_at","KIAA2013"
"X1555935_s_at","HUNK"
"X1555938_x_at","VIM"
"X1555939_at","LOC101928001"
"X1555940_a_at","LOC101928001"
"X1555942_a_at","MIR205"
"X1555943_at","PGAM5"
"X1555944_at","FAM120A"
"X1555945_s_at","FAM120A"
"X1555947_at","FAM120A"
"X1555948_s_at","FAM120A"
"X1555950_a_at","CD55"
"X1555952_at","LOC101928717 /// SLC19A1"
"X1555953_at","LOC101928717 /// SLC19A1"
"X1555958_at","CRTAC1"
"X1555960_at","HINT1"
"X1555961_a_at","HINT1"
"X1555962_at","B3GNT7"
"X1555963_x_at","B3GNT7"
"X1555964_at","ARL17A /// ARL17B /// LOC100294341"
"X1555967_at",""
"X1555968_a_at",""
"X1555970_at","FBXO28"
"X1555971_s_at","FBXO28"
"X1555972_s_at","FBXO28"
"X1555973_at",""
"X1555974_a_at",""
"X1555976_s_at","MYL12A"
"X1555977_at","MYL12A"
"X1555978_s_at","MYL12A"
"X1555979_at","LOC100130417"
"X1555980_a_at","LOC100130417"
"X1555981_at","ASB16-AS1"
"X1555982_at","ZFYVE16"
"X1555985_at","C17orf64"
"X1555988_a_at","LINC00661"
"X1555989_at","DAAM1"
"X1555990_at","C22orf42"
"X1555991_s_at","C22orf42"
"X1555993_at","CACNA1D"
"X1555994_at","DIAPH3-AS1"
"X1555995_a_at","DIAPH3-AS1"
"X1555996_s_at","EIF4A2 /// MIR1248 /// SNORA4 /// SNORA63 /// SNORA81 /// SNORD2"
"X1555997_s_at","IGFBP5"
"X1555998_at","ATP5H"
"X1556000_s_at","BTBD7"
"X1556001_at","LOC284939 /// MAPK8IP2"
"X1556003_a_at","LOC101928817"
"X1556004_at","LOC101928817"
"X1556006_s_at","CSNK1A1"
"X1556007_s_at","CSNK1A1"
"X1556008_a_at",""
"X1556009_at","PEX13"
"X1556012_at","KLHDC7A"
"X1556014_at","MESP2"
"X1556015_a_at","MESP2"
"X1556017_at","NBEAL2"
"X1556019_at","GPR180"
"X1556021_at","GPR180"
"X1556024_at","EME2"
"X1556026_at","LINC00893"
"X1556029_s_at","NMNAT2"
"X1556030_at","SMTN"
"X1556033_at","LINC01138"
"X1556034_s_at","MTMR11"
"X1556035_s_at","ZNF207"
"X1556037_s_at","HHIP"
"X1556038_at","GPR173"
"X1556039_s_at","GPR173"
"X1556042_s_at","LINC01089"
"X1556043_a_at","TTN-AS1"
"X1556046_a_at","LINC00599 /// MIR124-1"
"X1556047_s_at","MAGEE1"
"X1556048_at","LOC100507564"
"X1556049_at","RTN4"
"X1556051_a_at","BICD1"
"X1556053_at","DNAJC7"
"X1556054_at",""
"X1556055_at",""
"X1556056_at","SIK2"
"X1556057_s_at","NEUROD1"
"X1556058_s_at","SPEN"
"X1556059_s_at","SPEN"
"X1556060_a_at","ZNF451"
"X1556061_at","RPP30"
"X1556062_at","RPP30"
"X1556063_s_at","RPP30"
"X1556064_at","LOC284926"
"X1556065_at",""
"X1556066_at","KDM6B"
"X1556067_a_at","KDM6B"
"X1556069_s_at","HIF3A"
"X1556072_at","LINC00528"
"X1556075_at",""
"X1556078_at",""
"X1556081_at","RP11-16P6.1"
"X1556082_a_at","RP11-16P6.1"
"X1556084_at","HNRNPM"
"X1556086_at","C4orf27"
"X1556088_at","RPAIN"
"X1556090_at",""
"X1556092_s_at","HEMK1"
"X1556095_at","UNC13C"
"X1556096_s_at","UNC13C"
"X1556097_at","HOMER2"
"X1556099_at","LINC00290"
"X1556102_x_at","LOC389906"
"X1556103_at","RP11-480A16.1"
"X1556105_at",""
"X1556107_at",""
"X1556110_at",""
"X1556111_s_at",""
"X1556113_at","DKFZp451A211 /// LOC101928841"
"X1556114_a_at","DKFZp451A211 /// LOC101928841"
"X1556116_s_at","TNPO1"
"X1556117_at","LINC01260"
"X1556121_at","NAP1L1"
"X1556122_at","RAB11B-AS1"
"X1556123_a_at","RAB11B-AS1"
"X1556125_at",""
"X1556126_s_at",""
"X1556127_at","DIP2A"
"X1556128_a_at","RASGRF2"
"X1556129_at","LOC642533"
"X1556131_s_at","FBF1"
"X1556133_s_at","TEX36-AS1"
"X1556134_a_at","B3GNT5"
"X1556136_at","MYLK4"
"X1556138_a_at",""
"X1556144_at","DHX30"
"X1556145_a_at","LOC100131170"
"X1556147_at","RP11-16N11.2"
"X1556148_s_at","RP11-16N11.2"
"X1556149_at","ARVCF"
"X1556151_at","ITFG1"
"X1556153_s_at",""
"X1556154_a_at","SNAI3-AS1"
"X1556155_at","GPR37L1"
"X1556156_at","ESRRB"
"X1556158_at","FAM154B"
"X1556159_at",""
"X1556160_a_at",""
"X1556161_a_at","AF086294 /// RP11-485M7.3"
"X1556162_at","IGSF3"
"X1556163_a_at","IGSF3"
"X1556165_at","LOC100505727"
"X1556166_x_at","LOC100505727"
"X1556167_at","MROH2A"
"X1556168_s_at","MROH2A"
"X1556170_at",""
"X1556171_a_at",""
"X1556172_at",""
"X1556173_a_at",""
"X1556175_at","MTSS1L"
"X1556176_at","TAF8"
"X1556178_x_at","TAF8"
"X1556180_at","LINC00847"
"X1556181_at","ANKRD65"
"X1556182_x_at","ANKRD65"
"X1556183_at","ANKRD36BP2"
"X1556185_a_at","CTB-167B5.2"
"X1556186_s_at","EMC1"
"X1556187_at","ZNF555"
"X1556188_a_at","ZNF555"
"X1556190_s_at","LOC100507516"
"X1556192_x_at",""
"X1556194_a_at","HSPA4L"
"X1556195_a_at","RP4-798A10.7"
"X1556199_a_at","RGS9BP"
"X1556200_a_at","C10orf90"
"X1556201_at","RNASET2"
"X1556202_at","SRGAP2"
"X1556203_a_at","SRGAP2"
"X1556204_a_at","ZNF814"
"X1556205_at",""
"X1556206_at","LINC00408"
"X1556207_a_at","LINC00408"
"X1556209_at","CLEC2B"
"X1556210_at",""
"X1556211_a_at",""
"X1556212_x_at",""
"X1556213_a_at","BTG3"
"X1556216_s_at","BC042372 /// RP11-45P15.4"
"X1556220_at","RP11-757F18.5"
"X1556221_a_at","RP11-757F18.5"
"X1556222_at","SEPT7P9"
"X1556224_a_at","LOC155060 /// ZNF783"
"X1556226_at",""
"X1556227_at","VCPIP1"
"X1556228_a_at","VCPIP1"
"X1556229_at","RP11-235E17.4"
"X1556231_a_at","URI1"
"X1556232_at","KIF6"
"X1556233_s_at","KIF6"
"X1556235_at","LOC101927468 /// LOC101929257 /// LOC102724558"
"X1556236_at","ZNF391"
"X1556238_at",""
"X1556239_a_at",""
"X1556240_at","AX748267"
"X1556242_a_at","LOC100310756"
"X1556244_s_at","LOC375196"
"X1556247_a_at","LOC100506271"
"X1556248_at","EIF1B-AS1"
"X1556249_a_at","EIF1B-AS1"
"X1556250_at",""
"X1556253_s_at",""
"X1556255_a_at","LOC400756"
"X1556256_a_at","AF086125 /// RP11-61A14.1"
"X1556257_at","LOC645513"
"X1556259_at",""
"X1556261_a_at",""
"X1556262_at","LOC101928818 /// PWRN1"
"X1556263_s_at","LOC101928818 /// PWRN1"
"X1556265_at","C20orf202"
"X1556266_a_at","C20orf202"
"X1556267_at","MYRFL"
"X1556269_at","MYT1"
"X1556271_at","LOC101928896"
"X1556272_a_at","LOC101928896"
"X1556274_at","RP11-480I12.10"
"X1556277_a_at","PAPD4"
"X1556279_at",""
"X1556281_at",""
"X1556282_at","FGFR1OP2"
"X1556283_s_at","FGFR1OP2"
"X1556284_at","PPA2"
"X1556285_s_at","PPA2"
"X1556287_a_at",""
"X1556288_at","SMIM21"
"X1556289_at","LOC100506016"
"X1556291_at","POM121L12"
"X1556292_s_at","POM121L12"
"X1556294_at","FXYD2"
"X1556296_at",""
"X1556297_a_at",""
"X1556299_s_at","C12orf76"
"X1556300_s_at","SIM1"
"X1556301_at","LOC100287015"
"X1556304_s_at","LINC00899"
"X1556306_at","AF520793"
"X1556308_at","PRRT3"
"X1556309_s_at","C1orf86"
"X1556312_at","C2orf71"
"X1556314_a_at","RP11-389C8.2"
"X1556316_s_at","LOC284889"
"X1556318_s_at","CAND1"
"X1556319_at","TRIM44"
"X1556320_at","STOML1"
"X1556321_a_at","MESDC1"
"X1556322_a_at",""
"X1556323_at","CELF2"
"X1556325_at","FILIP1"
"X1556327_a_at",""
"X1556328_at","PCDH10"
"X1556329_a_at","PCDH10"
"X1556331_a_at",""
"X1556332_at",""
"X1556333_at","BC042382 /// RP11-408H20.3"
"X1556334_s_at","BC042382 /// RP11-408H20.3"
"X1556336_at","LOC101928747 /// RBMX /// SNORD61"
"X1556338_at",""
"X1556339_a_at",""
"X1556340_at","MAPK12"
"X1556341_s_at","MAPK12"
"X1556344_at","LOC150051"
"X1556345_s_at",""
"X1556346_at","COTL1"
"X1556347_at",""
"X1556348_at","HEATR1"
"X1556350_a_at","EIF4A2"
"X1556351_at","HCN1"
"X1556352_at",""
"X1556354_s_at","RGL3"
"X1556355_x_at","RGL3"
"X1556356_at","ERICH1"
"X1556357_s_at","ERICH1"
"X1556359_at","C6orf89"
"X1556361_s_at","ANKRD13C"
"X1556362_at","LOC101927531"
"X1556364_at","ADAMTS9-AS2"
"X1556365_at","LY86-AS1"
"X1556366_s_at","LY86-AS1"
"X1556368_at","PHKG2"
"X1556369_a_at","PHKG2"
"X1556371_at","OLIG3"
"X1556373_a_at","FAM185A"
"X1556374_s_at","BC039357 /// RP11-661G16.2"
"X1556375_at",""
"X1556377_s_at","LMO7"
"X1556378_a_at","LOC101927424 /// LOC101929800 /// LOC440896"
"X1556381_at","NAA15"
"X1556382_a_at","NAA15"
"X1556383_at",""
"X1556385_at",""
"X1556387_at","LOC100507389"
"X1556388_a_at","LOC100507389"
"X1556389_at","CNPY3"
"X1556392_a_at","CTD-2373J6.1"
"X1556393_at",""
"X1556394_a_at",""
"X1556395_at",""
"X1556397_at",""
"X1556398_a_at",""
"X1556400_at","AK054708 /// RP11-547D24.1"
"X1556401_a_at","AK054708 /// RP11-547D24.1"
"X1556402_at",""
"X1556404_a_at","ZNRF2P1"
"X1556405_s_at","LOC374890"
"X1556406_at","LINC00879"
"X1556409_a_at","AF086184"
"X1556410_a_at","KRTAP19-1"
"X1556411_s_at","KY"
"X1556412_at",""
"X1556413_a_at",""
"X1556414_at","LINC00515"
"X1556416_s_at",""
"X1556417_a_at",""
"X1556420_s_at","YPEL2"
"X1556421_at","LOC286189"
"X1556422_at","AC007228.11 /// BX647249"
"X1556423_at","VASH1"
"X1556425_a_at","LOC284219"
"X1556426_at","HEXA"
"X1556427_s_at","LRRN4CL"
"X1556429_a_at","TBC1D31"
"X1556432_at","AX747652"
"X1556434_at",""
"X1556435_at","LOC400622"
"X1556436_at","EXTL3-AS1"
"X1556437_at","LOC253805"
"X1556439_at","AL832163"
"X1556442_x_at",""
"X1556444_a_at","LOC100288310"
"X1556445_at","RP11-90P13.1"
"X1556447_at","LINC00606"
"X1556448_a_at","LINC00606"
"X1556449_at",""
"X1556451_at",""
"X1556452_a_at","LINC00928"
"X1556453_at","LOC100506274"
"X1556454_a_at","LOC100506274"
"X1556456_at","LINC01138"
"X1556457_s_at","LINC01138"
"X1556459_at","ARHGAP22-IT1"
"X1556460_a_at","ARHGAP22-IT1"
"X1556461_at",""
"X1556462_a_at",""
"X1556464_a_at","C2orf72"
"X1556465_at","RP11-310J24.3"
"X1556467_at","LOC101929734"
"X1556468_at","AX747261"
"X1556469_s_at","AX747261"
"X1556471_at","SCML4"
"X1556472_s_at","SCML4"
"X1556473_at","FLJ38379"
"X1556474_a_at","FLJ38379"
"X1556476_at","LOC283485"
"X1556477_a_at","LOC283485"
"X1556479_at",""
"X1556480_a_at",""
"X1556484_at","LRRC52"
"X1556486_at",""
"X1556487_a_at","MAATS1"
"X1556488_s_at","MAATS1"
"X1556489_at","LOC101805491 /// TMEM247"
"X1556490_a_at","LOC101805491 /// TMEM247"
"X1556491_at",""
"X1556492_a_at","RP11-687F6.1"
"X1556493_a_at","KDM4C"
"X1556494_at","LINC01365"
"X1556496_a_at","RP11-521I2.3"
"X1556497_a_at",""
"X1556498_at","FAM69A"
"X1556499_s_at","COL1A1"
"X1556500_a_at",""
"X1556502_at","LOC100507654"
"X1556504_at","BC040646 /// RP11-732A21.2"
"X1556505_at","LINC00605"
"X1556507_at","LINC01210"
"X1556508_s_at","LINC01210"
"X1556510_at","NFIA-AS2"
"X1556511_a_at","NFIA-AS2"
"X1556513_at","ZNF573"
"X1556514_at","C12orf74"
"X1556516_at","BC042022 /// LOC100506331"
"X1556518_at","DLG1-AS1"
"X1556520_at",""
"X1556521_a_at",""
