"probset.ids","gene.names"
"X1552532_a_at","ATP6V1C2"
"X1552535_at","CLDN19"
"X1552536_at","VTI1A"
"X1552538_a_at","KIF6"
"X1552540_s_at","IQCD"
"X1552541_at","TAGAP"
"X1552542_s_at","TAGAP"
"X1552543_a_at","STON2"
"X1552544_at","SERPINA12"
"X1552546_a_at","LETM2"
"X1552548_at","BSND"
"X1552549_a_at","BSND"
"X1552552_s_at","CLEC4C"
"X1552553_a_at","NLRC4"
"X1552554_a_at","NLRC4"
"X1552555_at","PRSS36"
"X1552557_a_at","ZDHHC15"
"X1552558_a_at","RAI1"
"X1552559_a_at","CDK15"
"X1552562_at","ZNF570"
"X1552563_a_at","AF131215.4"
"X1552564_at","NUDT9P1"
"X1552566_at","BTBD16"
"X1552568_at","RTP3"
"X1552569_a_at","RTP3"
"X1552570_at","TSPEAR"
"X1552572_a_at","MIPOL1"
"X1552573_s_at","MIPOL1"
"X1552575_a_at","C6orf141"
"X1552576_at","ALMS1P"
"X1552578_a_at","MYO3B"
"X1552579_a_at","ADAM21"
"X1552580_at","TRIML2"
"X1552582_at","ABCC13"
"X1552583_s_at","ABCC13"
"X1552584_at","IL12RB1"
"X1552585_s_at","GTF2A1L"
"X1552586_at","TRPV3"
"X1552587_at","CNBD1"
"X1552588_a_at","CNBD1"
"X1552590_a_at","ABCC12"
"X1552592_at","MMP21"
"X1552594_at","TMEM190"
"X1552596_at","GAS2L2"
"X1552598_at","KCNG4"
"X1552599_at","PXT1"
"X1552602_at","CACNG5"
"X1552604_at","LINC00308"
"X1552605_s_at","LINC00308"
"X1552607_at","FAM223A /// FAM223B"
"X1552608_at","WFDC11"
"X1552609_s_at","IFNL2 /// IFNL3"
"X1552610_a_at","JAK1"
"X1552611_a_at","JAK1"
"X1552612_at","CDC42SE2"
"X1552613_s_at","CDC42SE2"
"X1552615_at","ACACB"
"X1552616_a_at","ACACB"
"X1552617_a_at","RFWD2"
"X1552618_at","STX6"
"X1552619_a_at","ANLN"
"X1552620_at","SPRR4"
"X1552621_at","POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL"
"X1552622_s_at","LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL"
"X1552623_at","HSH2D"
"X1552625_a_at","TRNT1"
"X1552626_a_at","TMEM163"
"X1552627_a_at","ARHGAP5"
"X1552628_a_at","HERPUD2"
"X1552629_a_at","JMJD6"
"X1552630_a_at","SRCAP"
"X1552631_a_at","MAP3K6"
"X1552632_a_at","ARSG"
"X1552633_at","ZNF101"
"X1552634_a_at","ZNF101"
"X1552637_at","PTPN11"
"X1552639_at","KLHDC7B"
"X1552641_s_at","ATAD3A /// ATAD3B"
"X1552643_at","ZNF626"
"X1552644_a_at","PHC3"
"X1552646_at","IL11RA"
"X1552648_a_at","TNFRSF10A"
"X1552649_a_at","RAD51L3-RFFL /// RFFL"
"X1552651_a_at","RAD51L3-RFFL /// RFFL"
"X1552652_at","HPS4"
"X1552656_s_at","UHMK1"
"X1552657_a_at","TXNDC2"
"X1552658_a_at","NAV3"
"X1552660_a_at","C5orf22"
"X1552661_at","PCDHGB7"
"X1552662_a_at","PCDHGB7"
"X1552663_a_at","ERC1"
"X1552664_at","FLCN"
"X1552665_at","JMJD1C-AS1"
"X1552666_a_at","LRRC7"
"X1552667_a_at","SH2D3C"
"X1552669_at","PPP1R3B"
"X1552670_a_at","PPP1R3B"
"X1552671_a_at","SLC9A7"
"X1552672_a_at","IGSF3"
"X1552673_at","RFX6"
"X1552674_at","DIRC1"
"X1552675_at","DNAJB7"
"X1552676_at","UCN3"
"X1552677_a_at","DIP2A"
"X1552678_a_at","USP28"
"X1552680_a_at","CASC5"
"X1552682_a_at","CASC5"
"X1552684_a_at","SENP8"
"X1552685_a_at","GRHL1"
"X1552686_at","CNBD2"
"X1552687_a_at","CNBD2"
"X1552689_at","CASKIN1"
"X1552690_a_at","CACNA2D4"
"X1552691_at","ARL11"
"X1552693_at","ARL11"
"X1552694_at","SLC2A13"
"X1552695_a_at","SLC2A13"
"X1552696_at","NIPA1"
"X1552698_at","TUBA3FP"
"X1552701_a_at","CARD16"
"X1552703_s_at","CARD16 /// CASP1"
"X1552705_at","DUSP19"
"X1552708_a_at","DUSP19"
"X1552711_a_at","CYB5D1"
"X1552712_a_at","NMNAT2"
"X1552713_a_at","SLC4A1"
"X1552714_at","CREG2"
"X1552715_a_at","RXFP1"
"X1552716_at","SPEF2"
"X1552717_s_at","CEP170 /// CEP170P1"
"X1552718_at","DTD1"
"X1552719_at","CASC4"
"X1552721_a_at","FGF1"
"X1552722_at","ARPP21"
"X1552724_at","RHOXF1"
"X1552725_s_at","ADAMTS17"
"X1552726_at","ADAMTS17"
"X1552727_s_at","ADAMTS17"
"X1552729_at","SNHG7 /// SNORA17 /// SNORA43"
"X1552730_at","DHH"
"X1552731_at","ABRA"
"X1552732_at","ABRA"
"X1552733_at","KLHDC1"
"X1552734_at","RICTOR"
"X1552735_at","PCDHGA4"
"X1552736_a_at","NETO1"
"X1552737_s_at","WWP2"
"X1552738_a_at","ST7L"
"X1552739_s_at","ST7L"
"X1552740_at","C2orf15"
"X1552742_at","KCNH8"
"X1552743_at","MCF2L"
"X1552745_at","SLCO6A1"
"X1552747_a_at","PP2D1"
"X1552749_a_at","KLC3"
"X1552750_at","CIB3"
"X1552751_a_at","CIB3"
"X1552752_a_at","CADM2"
"X1552754_a_at","CADM2"
"X1552755_at","C9orf66"
"X1552757_s_at","C9orf66"
"X1552758_at","HDAC9"
"X1552760_at","HDAC9"
"X1552761_at","SLC16A11"
"X1552763_at","TMEM67"
"X1552765_x_at","TMEM67"
"X1552766_at","HS6ST2"
"X1552767_a_at","HS6ST2"
"X1552768_at","CAMKK1"
"X1552769_at","ZNF625"
"X1552770_s_at","ZNF563"
"X1552771_a_at","LIN9"
"X1552772_at","CLEC4D"
"X1552773_at","CLEC4D"
"X1552774_a_at","SLC25A27"
"X1552775_at","GPRC6A"
"X1552777_a_at","RAET1E"
"X1552779_a_at","SLC44A5"
"X1552782_at","SLC44A5"
"X1552783_at","ZNF417"
"X1552785_at","ZNF781"
"X1552787_at","HELB"
"X1552788_a_at","HELB"
"X1552789_at","SEC62"
"X1552790_a_at","SEC62"
"X1552791_a_at","TRDN"
"X1552792_at","SOCS4"
"X1552793_at","C8orf31"
"X1552794_a_at","ZNF547"
"X1552796_a_at","SIM1"
"X1552797_s_at","PROM2"
"X1552798_a_at","TLR4"
"X1552799_at","TSNARE1"
"X1552800_at","ABHD11"
"X1552801_at","CAPN13"
"X1552803_a_at","STMN1"
"X1552804_a_at","TIRAP"
"X1552806_a_at","SIGLEC10"
"X1552807_a_at","SIGLEC10"
"X1552808_at","ADAMTSL1"
"X1552809_at","RFX4"
"X1552811_at","WFIKKN1"
"X1552812_a_at","SENP1"
"X1552813_at","KLF14"
"X1552814_a_at","KLF14"
"X1552816_at","NXNL2"
"X1552818_a_at","BRS3"
"X1552819_at","LINC00205 /// LOC102723489 /// LOC102725097"
"X1552822_at","TMX3"
"X1552825_at","ZNF396"
"X1552826_at","SLC26A7"
"X1552827_s_at","SLC26A7"
"X1552828_at","SNX18"
"X1552829_at",""
"X1552830_at","FBXO39"
"X1552833_at","B3GNT6"
"X1552834_at","B3GNT6"
"X1552835_at","DENND1B"
"X1552836_at","ZNF619"
"X1552837_at","ICK"
"X1552839_at","FAM71D"
"X1552841_s_at","BCL2L14"
"X1552842_at","HS6ST3"
"X1552843_at","SLC26A1"
"X1552845_at","CLDN15"
"X1552846_s_at","RAB42"
"X1552848_a_at","PTCHD1"
"X1552849_at","M1AP"
"X1552851_at","ZSCAN4"
"X1552852_a_at","ZSCAN4"
"X1552853_at","VWA5B1"
"X1552854_a_at","VWA5B1"
"X1552856_at","LINC00311"
"X1552857_a_at","HTR6"
"X1552858_at","MAGEB6"
"X1552860_at","LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2"
"X1552862_at","RUSC1-AS1"
"X1552863_a_at","CACNG6"
"X1552865_a_at","LMNTD1"
"X1552867_at",""
"X1552868_at","CIRBP-AS1"
"X1552870_s_at","AXDND1"
"X1552872_at","ASMTL-AS1"
"X1552873_s_at","ASMTL-AS1"
"X1552875_a_at","CD200R1"
"X1552876_at","LINC00334"
"X1552877_s_at","LINC00334"
"X1552878_at","ATOH7"
"X1552879_a_at","ATOH7"
"X1552880_at","SEC16B"
"X1552882_a_at","AMER1"
"X1552884_at","NKX6-3"
"X1552885_a_at","NKX6-3"
"X1552887_at","TBATA"
"X1552889_a_at","EXOC3L2"
"X1552890_a_at","CABP4"
"X1552892_at","TNFRSF13C"
"X1552893_at","CAMK2N2"
"X1552895_a_at","ANKRD30BP2"
"X1552897_a_at","KCNG3"
"X1552898_a_at","KCNG3"
"X1552899_at","LINC01312"
"X1552900_a_at","LINC01312"
"X1552902_a_at","FOXP2"
"X1552903_at","B4GALNT2"
"X1552904_at","NETO1"
"X1552906_at","FMR1NB"
"X1552908_at","GCSAML"
"X1552910_at","SIGLEC11"
"X1552911_at","SIGLEC11"
"X1552912_a_at","IL23R"
"X1552913_at","MAGEB18"
"X1552914_a_at","CD276"
"X1552915_at","IFNL2"
"X1552917_at","IFNL1"
"X1552919_at","C4orf36"
"X1552921_a_at","FIGNL1"
"X1552922_at","RIMS1"
"X1552923_a_at","PITPNM2"
"X1552924_a_at","PITPNM2"
"X1552925_at","PCDH10"
"X1552927_at","TAB3"
"X1552928_s_at","TAB3"
"X1552929_at","GRK7"
"X1552930_at","MMEL1"
